serial no.,Game,Start,End,Genre
290,Wonder Boy: The Dragon’s Trap,14-07-2022,21-07-2022,Platformer remake.
291,Shop Titans (bundle),14-07-2022,21-07-2022,F2P pack.
292,Tannenberg,21-07-2022,28-07-2022,WW1 FPS.
293,Lawn Mowing Simulator,28-07-2022,04-08-2022,Mowing sim.
294,Unrailed!,04-08-2022,11-08-2022,Co‑op track‑building.
295,"Cook, Serve, Delicious! 3?!",11-08-2022,18-08-2022,Cooking management.
296,Rumbleverse Boom Boxer Pack (DLC),18-08-2022,25-08-2022,Cosmetics pack.
297,Doom 64,18-08-2022,25-08-2022,Classic shooter.
298,Ring of Pain,25-08-2022,01-09-2022,Card roguelike.
299,Destiny 2: Bungie 30th Anniversary Pack,25-08-2022,01-09-2022,DLC expansion.
300,Shadow of the Tomb Raider: Definitive Edition (repeat),01-09-2022,08-09-2022,Action‑adventure.
301,Submerged: Hidden Depths,01-09-2022,08-09-2022,Third‑person exploration.
302,Hundred Days – Winemaking Simulator,08-09-2022,15-09-2022,Winemaking management sim.
303,Realm Royale Reforged Epic Launch Bundle (DLC),08-09-2022,15-09-2022,F2P cosmetics/boosts.
304,Spirit of the North,15-09-2022,22-09-2022,Fox exploration game.
305,The Captain,15-09-2022,22-09-2022,Pixel‑art space adventure.
306,ARK: Survival Evolved (repeat),22-09-2022,29-09-2022,Survival sandbox.
307,Gloomhaven,22-09-2022,29-09-2022,Tactical RPG board‑game adaptation.
308,The Drone Racing League Simulator,29-09-2022,06-10-2022,Drone racing sim.
309,Runbow,29-09-2022,06-10-2022,Colorful party platformer.
310,Slain: Back from Hell,06-10-2022,13-10-2022,Heavy‑metal action platformer.
311,Rising Hell,06-10-2022,13-10-2022,Vertical roguelike.
312,ToeJam & Earl: Back in the Groove!,13-10-2022,20-10-2022,Roguelike co‑op adventure.
313,Darkwood,13-10-2022,20-10-2022,Top‑down survival horror.
314,Evoland Legendary Edition,20-10-2022,27-10-2022,JRPG homage collection.
315,Fallout 3: Game of the Year Edition,20-10-2022,27-10-2022,Open‑world RPG.
316,Saturnalia,27-10-2022,03-11-2022,Roguelite horror adventure.
317,"Warhammer 40,000: Mechanicus",27-10-2022,03-11-2022,Turn‑based tactics.
318,Filament,03-11-2022,10-11-2022,Cable puzzle game.
319,Rising Storm 2: Vietnam (repeat),03-11-2022,10-11-2022,Multiplayer FPS.
320,Alba: A Wildlife Adventure,10-11-2022,17-11-2022,Relaxed exploration on a Mediterranean island.
321,Shadow Tactics: Blades of the Shogun (repeat),10-11-2022,17-11-2022,Tactical stealth.
322,Evil Dead: The Game,17-11-2022,24-11-2022,Asymmetrical horror.
323,Dark Deity,17-11-2022,24-11-2022,Tactical RPG.
324,Star Wars: Squadrons,24-11-2022,01-12-2022,Space dogfighting sim.
325,Fort Triumph,01-12-2022,08-12-2022,XCOM‑like fantasy tactics.
326,RPG in a Box,01-12-2022,08-12-2022,Create‑your‑own RPG toolkit.
327,Wildcat Gun Machine,08-12-2022,15-12-2022,Bullet‑hell dungeon crawler.
328,Saints Row IV: Re‑Elected,08-12-2022,15-12-2022,Open‑world superpower chaos.
329,Sable,19-12-2022,20-12-2022,Stylized open‑world exploration (holiday daily).
330,Them’s Fightin’ Herds,20-12-2022,21-12-2022,Indie fighting game.
331,Wolfenstein: The New Order (repeat),21-12-2022,22-12-2022,FPS.
332,LEGO Builder’s Journey,22-12-2022,23-12-2022,Puzzle builder.
333,Fallout Classic Collection,23-12-2022,24-12-2022,"Fallout 1, Fallout 2, Fallout Tactics."
334,Encased,24-12-2022,25-12-2022,Isometric RPG.
335,Metro: Last Light Redux (repeat),25-12-2022,26-12-2022,FPS.
336,Death Stranding,26-12-2022,27-12-2022,Strand‑type action game.
337,F.I.S.T.: Forged In Shadow Torch,27-12-2022,28-12-2022,Metroidvania.
338,Severed Steel (repeat),28-12-2022,29-12-2022,Stylish FPS.
339,Mortal Shell,29-12-2022,05-01-2023,Souls‑like action RPG.
340,Dishonored – Definitive Edition,29-12-2022,05-01-2023,Immersive sim.
341,Eximius: Seize the Frontline,29-12-2022,05-01-2023,Hybrid FPS/RTS.
342,Kerbal Space Program,05-01-2023,12-01-2023,Spaceflight sim.
343,Shadow Tactics: Aiko’s Choice,05-01-2023,12-01-2023,Standalone expansion.
344,Divine Knockout,12-01-2023,19-01-2023,Third‑person platform fighter.
345,First Class Trouble,12-01-2023,19-01-2023,Social deduction.
346,Gamedec – Definitive Edition,19-01-2023,26-01-2023,Isometric cyberpunk RPG.
347,Epistory – Typing Chronicles,19-01-2023,26-01-2023,Typing‑based action adventure.
348,Adios,26-01-2023,02-02-2023,Narrative game about a mob disposal worker.
349,Hell is Others,26-01-2023,02-02-2023,Extraction shooter with horror angle.
350,City of Gangsters,02-02-2023,09-02-2023,Prohibition‑era management sim.
351,Recipe for Disaster,09-02-2023,16-02-2023,Restaurant management sim.
352,Warpips,16-02-2023,23-02-2023,Tug‑of‑war strategy.
353,Duskers,23-02-2023,02-03-2023,Command‑line drone roguelike.
354,Rise of Industry,02-03-2023,09-03-2023,Tycoon/production‑chain sim.
355,Call of the Sea,09-03-2023,16-03-2023,First‑person puzzle adventure.
356,"Gladius – Relics of War (Warhammer 40,000)",16-03-2023,23-03-2023,4X strategy.
357,Chess Ultra,23-03-2023,30-03-2023,Chess sim.
358,World of Warships – Starter Pack: Ishizuchi (DLC),23-03-2023,30-03-2023,F2P starter bundle.
359,The Silent Age,30-03-2023,06-04-2023,Time‑travel adventure.
360,Tunche,30-03-2023,06-04-2023,Beat ’em up roguelite.
361,Dying Light Enhanced Edition,06-04-2023,13-04-2023,Open‑world zombie parkour.
362,shapez,06-04-2023,13-04-2023,Factory‑building puzzle.
363,Mordhau,13-04-2023,20-04-2023,Medieval multiplayer slasher.
364,Second Extinction (repeat),13-04-2023,20-04-2023,Co‑op dinosaur shooter.
365,Beyond Blue,20-04-2023,27-04-2023,Underwater exploration.
366,Never Alone (Kisima Ingitchuna) (repeat),20-04-2023,27-04-2023,Cultural puzzle platformer.
367,Breathedge,27-04-2023,04-05-2023,Space survival parody.
368,Poker Club,27-04-2023,04-05-2023,Poker sim.
369,Against All Odds,04-05-2023,11-05-2023,Party obstacle‑course game.
370,Horizon Chase Turbo (repeat),04-05-2023,11-05-2023,Arcade racer.
371,Kao the Kangaroo,04-05-2023,11-05-2023,3D platformer.
372,The Sims 4 – Daring Lifestyle Bundle (DLC),11-05-2023,18-05-2023,Cosmetic/content pack.
373,Death Stranding (repeat),18-05-2023,25-05-2023,Strand‑type action game.
374,Fallout: New Vegas – Ultimate Edition,25-05-2023,01-06-2023,Classic RPG.
375,Midnight Ghost Hunt,01-06-2023,08-06-2023,4v4 prop‑hunt ghost game.
376,PAYDAY 2,08-06-2023,15-06-2023,Co‑op heist FPS.
377,Guacamelee! Super Turbo Championship Edition,15-06-2023,22-06-2023,Metroidvania brawler.
378,Guacamelee! 2,15-06-2023,22-06-2023,Sequel brawler.
379,The Dungeon of Naheulbeuk: The Amulet of Chaos,22-06-2023,29-06-2023,Tactical RPG.
380,A Game of Thrones: The Board Game – Digital Edition (repeat),29-06-2023,06-07-2023,Strategy board adaptation.
381,The Elder Scrolls Online,20-07-2023,27-07-2023,MMORPG.
382,Murder by Numbers,20-07-2023,27-07-2023,Picross detective puzzle.
383,Homeworld Remastered Collection,27-07-2023,03-08-2023,RTS classics remaster.
384,Severed Steel,27-07-2023,03-08-2023,Stylish acrobatic FPS.
385,Bloons TD 6,03-08-2023,10-08-2023,Tower defense.
386,Loop Hero (repeat),03-08-2023,10-08-2023,Deck‑building auto‑runner.
387,Europa Universalis IV (repeat),10-08-2023,17-08-2023,Grand strategy.
388,Orwell: Keeping an Eye on You,10-08-2023,17-08-2023,Surveillance narrative game.
389,Black Book,17-08-2023,24-08-2023,Card‑based RPG with Slavic folklore.
390,Dodo Peak,17-08-2023,24-08-2023,Arcade puzzle platformer.
391,Homeworld: Deserts of Kharak,24-08-2023,31-08-2023,Ground‑based RTS prequel.
392,Cave Story+ (repeat),31-08-2023,07-09-2023,Classic platformer.
393,Spelldrifter,31-08-2023,07-09-2023,Tactical card RPG.
394,911 Operator,14-09-2023,21-09-2023,Emergency services sim.
395,Out of Line,14-09-2023,21-09-2023,Hand‑drawn puzzle platformer.
396,The Forest Quartet,21-09-2023,28-09-2023,Narrative puzzle adventure.
397,Out of Bandwidth (placeholder small title slot)*,21-09-2023,28-09-2023,Minor indie/freebie slot noted in trackers.
398,Soulstice,28-09-2023,05-10-2023,Action hack‑and‑slash.
399,Model Builder,28-09-2023,05-10-2023,Scale‑model crafting sim.
400,Godlike Burger,05-10-2023,12-10-2023,Darkly comic restaurant sim.
401,Blazing Sails,12-10-2023,19-10-2023,Multiplayer pirate battle royale.
402,Q.U.B.E. Ultimate Bundle,12-10-2023,19-10-2023,Includes Q.U.B.E. + DLC.
403,Eternal Threads,19-10-2023,26-10-2023,Time‑manipulation narrative adventure.
404,The Evil Within,19-10-2023,26-10-2023,Survival horror.
405,The Evil Within 2,26-10-2023,02-11-2023,Survival horror sequel.
406,Tandem: A Tale of Shadows,26-10-2023,02-11-2023,Puzzle platformer with dual perspectives.
407,F.I.S.T.: Forged In Shadow Torch (repeat),02-11-2023,09-11-2023,Metroidvania.
408,Turnip Boy Commits Tax Evasion,02-11-2023,09-11-2023,Comedy adventure.
409,Golden Light,09-11-2023,16-11-2023,Horror roguelike.
410,Earthlock,09-11-2023,16-11-2023,Turn‑based RPG.
411,Surviving the Aftermath,16-11-2023,23-11-2023,Post‑apocalyptic colony sim.
412,Deliver Us Mars,16-11-2023,23-11-2023,Sci‑fi adventure.
413,Jitsu Squad,23-11-2023,30-11-2023,Co‑op beat ’em up.
414,Mighty Fight Federation,23-11-2023,30-11-2023,Arena fighter.
415,GigaBash,30-11-2023,07-12-2023,Kaiju party brawler.
416,Predecessor (starter pack),30-11-2023,07-12-2023,MOBA bundle.
417,Destiny 2: Legacy Collection (DLC bundle),07-12-2023,14-12-2023,Expansion pack trio.
418,DNF Duel (repeat),14-12-2023,21-12-2023,Anime fighting game.
419,Melvor Idle,14-12-2023,21-12-2023,Idle/RPG inspired by RuneScape.
420,Art of Rally,21-12-2023,31-12-2023,"Stylized rally racer, part of 2023 holiday run."
421,Fallout 3: Game of the Year Edition (repeat),21-12-2023,31-12-2023,Open‑world RPG.
422,Ghostwire: Tokyo,21-12-2023,31-12-2023,Supernatural action‑adventure.
423,The Outer Worlds: Spacer’s Choice Edition (repeat),21-12-2023,31-12-2023,Enhanced RPG edition.
424,Human Resource Machine,21-12-2023,31-12-2023,Programming‑puzzle game.
425,Cursed to Golf,21-12-2023,31-12-2023,Roguelike golf platformer.
426,Cat Quest,21-12-2023,31-12-2023,Action RPG.
427,Snakebird Complete,21-12-2023,31-12-2023,Difficult puzzle game.
428,Saints Row (2022),21-12-2023,31-12-2023,Open‑world action reboot.
429,Ghostrunner,21-12-2023,31-12-2023,Cyberpunk parkour slasher.
430,Escape Academy (repeat),21-12-2023,31-12-2023,Co‑op escape‑room puzzler.
431,20 Minutes Till Dawn (repeat),21-12-2023,31-12-2023,Survivor‑like shooter.
432,A Plague Tale: Innocence (repeat),21-12-2023,31-12-2023,Story‑driven adventure.
433,Marvel’s Guardians of the Galaxy (repeat),21-12-2023,31-12-2023,AAA story action game.
434,Dishonored: Death of the Outsider,21-12-2023,31-12-2023,Standalone immersive‑sim spin‑off.
435,Idle Champions of the Forgotten Realms (DLC pack),21-12-2023,31-12-2023,F2P booster.
436,theHunter: Call of the Wild (repeat),21-12-2023,31-12-2023,Hunting sim.
437,Train Valley 2,21-12-2023,31-12-2023,Train puzzle/management.
438,Grime,21-12-2023,31-12-2023,Souls‑like Metroidvania.
439,Turnip Boy Commits Tax Evasion (repeat),21-12-2023,31-12-2023,Comedy adventure.
440,Black Book (repeat),21-12-2023,31-12-2023,Card RPG with Slavic folklore.
441,Train Sim World 3 (example holiday slot)*,21-12-2023,31-12-2023,Sim entry appearing in some 2023 holiday lists.
442,Additional minor DLC / cosmetics slots (holiday pack group)*,21-12-2023,31-12-2023,Small bundles grouped in holiday promo.
443,Escape Academy (repeat),01-01-2024,02-01-2024,Puzzle escape‑room game.
444,20 Minutes Till Dawn (repeat),02-01-2024,03-01-2024,Survivor‑like shooter.
445,A Plague Tale: Innocence (repeat),03-01-2024,04-01-2024,Story‑driven action adventure.
446,Marvel’s Guardians of the Galaxy (repeat),04-01-2024,11-01-2024,AAA narrative action.
447,Sail Forth,11-01-2024,18-01-2024,Indie sailing adventure.
448,LOVE,18-01-2024,25-01-2024,Minimalist precision platformer.
449,Infinifactory,25-01-2024,01-02-2024,3D factory‑building puzzle game.
450,Doors: Paradox,01-02-2024,08-02-2024,Puzzle/escape‑room game.
451,Doki Doki Literature Club Plus!,08-02-2024,15-02-2024,Visual novel (plus content).
452,Dakar Desert Rally,15-02-2024,22-02-2024,Off‑road racing.
453,Thief (2014),22-02-2024,29-02-2024,Stealth action.
454,The Big Con,29-02-2024,07-03-2024,90s‑style con‑artist adventure.
455,Town of Salem 2,07-03-2024,14-03-2024,Social deduction.
456,LISA: The Painful – Definitive Edition,14-03-2024,21-03-2024,Dark comedy RPG.
457,Industria,21-03-2024,28-03-2024,Narrative FPS.
458,Orcs Must Die! 3,28-03-2024,04-04-2024,Tower‑defense action.
459,Circus Electrique,04-04-2024,11-04-2024,Tactical RPG/management.
460,Dragon Age: Inquisition – Game of the Year Edition,11-04-2024,18-04-2024,AAA fantasy RPG.
461,Farming Simulator 22,18-04-2024,25-04-2024,Modern farming sim.
462,Chivalry 2,25-04-2024,02-05-2024,Multiplayer medieval slasher.
463,LISA: The Joyful – Definitive Edition,02-05-2024,09-05-2024,DLC‑scale sequel to LISA.
464,Orcs Must Die! 2 (repeat),09-05-2024,16-05-2024,Hybrid tower defense.
465,Cat Quest II,16-05-2024,23-05-2024,Co‑op action RPG.
466,Firestone: Online Idle RPG – Epic Pack (DLC),23-05-2024,30-05-2024,F2P booster bundle.
467,Marvel’s Midnight Suns,30-05-2024,06-06-2024,Tactical card‑based superhero RPG.
468,Redout 2,06-06-2024,13-06-2024,Futuristic arcade racer.
469,Idle Champions of the Forgotten Realms (DLC pack),13-06-2024,20-06-2024,Bonus content.
470,Freshly Frosted + Rumble Club pack,20-06-2024,27-06-2024,Donut puzzle game + F2P bonuses.
471,Sunless Skies: Sovereign Edition,27-06-2024,04-07-2024,Gothic exploration RPG.
472,The Falconeer,04-07-2024,11-07-2024,Air‑combat RPG.
473,Floppy Knights,11-07-2024,18-07-2024,Deck‑building tactics.
474,Arcade Paradise,18-07-2024,25-07-2024,Laundromat/arcade management.
475,Maid of Sker,18-07-2024,25-07-2024,Stealth horror.
476,F.I.S.T.: Forged In Shadow Torch (repeat),25-07-2024,01-08-2024,Metroidvania.
477,Thief (repeat),01-08-2024,08-08-2024,Stealth action.
478,The Callisto Protocol,08-08-2024,15-08-2024,AAA sci‑fi horror.
479,Lego Star Wars: The Skywalker Saga,15-08-2024,22-08-2024,Full‑saga Lego action adventure.
480,The Outer Worlds: Spacer’s Choice Edition (repeat),22-08-2024,29-08-2024,Enhanced RPG edition.
481,Deus Ex: Mankind Divided,29-08-2024,05-09-2024,Cyberpunk immersive sim.
482,The Big Con (repeat),05-09-2024,12-09-2024,90s con‑artist adventure.
483,Orcs Must Die! 3 (repeat),12-09-2024,19-09-2024,Tower‑defense action.
484,Circus Electrique (repeat),19-09-2024,26-09-2024,Tactical RPG/management.
485,Dragon Age: Inquisition – Game of the Year Edition (repeat),26-09-2024,03-10-2024,AAA fantasy RPG.
486,Farming Simulator 22 (repeat),03-10-2024,10-10-2024,Farming sim.
487,Chivalry 2 (repeat),10-10-2024,17-10-2024,Medieval slasher.
488,World War Z: Aftermath,17-10-2024,24-10-2024,Co‑op zombie shooter.
489,Garden Story,24-10-2024,31-10-2024,Wholesome village action‑adventure.
490,HUMANKIND,31-10-2024,07-11-2024,Historical 4X strategy.
491,F1 Manager 2024,07-11-2024,14-11-2024,F1 management sim.
492,Turmoil,14-11-2024,21-11-2024,Oil‑drilling management game.
493,Kingdom Come: Deliverance (repeat),21-11-2024,28-11-2024,"Historical RPG, lead‑in to holiday season."
494,Hell Let Loose,28-11-2024,05-12-2024,100‑player WW2 FPS.
495,The Lord of the Rings: Return to Moria,12-12-2024,19-12-2024,"Survival crafting in Moria, start of Holiday 2024 run."
496,Vampire Survivors,19-12-2024,20-12-2024,Bullet‑heaven roguelike.
497,Astrea: Six‑Sided Oracles,20-12-2024,21-12-2024,Dice‑deck‑building roguelike.
498,Wizard of Legend,21-12-2024,22-12-2024,Fast action roguelike.
499,Dark and Darker – Legendary Status (DLC),23-12-2024,24-12-2024,Unlock status/bonuses.
500,DREDGE,24-12-2024,25-12-2024,Fishing horror‑tinged adventure.
501,Control (repeat),25-12-2024,26-12-2024,Supernatural action‑adventure.
502,Ghostrunner 2,26-12-2024,27-12-2024,Cyberpunk parkour slasher.
503,Hot Wheels Unleashed,27-12-2024,28-12-2024,Arcade racer.
504,KILL KNIGHT,28-12-2024,29-12-2024,Isometric bullet‑hell.
505,Orcs Must Die! 3 (repeat),29-12-2024,30-12-2024,Tower‑defense action.
506,Sifu,30-12-2024,31-12-2024,Martial‑arts roguelite.
507,REDACTED (mystery day 2024)*,30-12-2024,31-12-2024,Placeholder used by some leak lists; actual title varied/hidden until reveal.
508,"Kingdom Come: Deliverance (repeat, New Year slot)",31-12-2024,01-01-2025,New Year free rerun.
509,"Hell Let Loose (repeat, final Holiday 2024)",01-01-2025,02-01-2025,Final game of 2024 holiday sequence.
510,Turmoil (repeat),02-01-2025,09-01-2025,Oil‑drilling sim (weekly slot).
511,Escape Academy (repeat),09-01-2025,16-01-2025,Co‑op escape‑room puzzler.
512,Make Way,16-01-2025,23-01-2025,Build‑your‑own top‑down racer.
513,Machinarium,23-01-2025,30-01-2025,Classic point‑and‑click puzzle.
514,Monument Valley,30-01-2025,06-02-2025,Meditative puzzle game.
515,Monument Valley 2,06-02-2025,13-02-2025,Sequel puzzle adventure.
516,Jorel’s Brother and The Most Important Game of the Galaxy,13-02-2025,20-02-2025,Cartoon‑style adventure.
517,Nightingale pack / early‑access bonus,20-02-2025,27-02-2025,Content related to survival game Nightingale.
518,Gravity Circuit,27-02-2025,06-03-2025,Retro‑style action platformer.
519,Albion Online – Rogue Journeyman Bundle,06-03-2025,13-03-2025,F2P MMO bundle.
520,Amnesia: The Bunker,13-03-2025,20-03-2025,First‑person horror.
521,Samorost 3,20-03-2025,27-03-2025,Surreal adventure.
522,Fear the Spotlight,27-03-2025,03-04-2025,Retro‑inspired horror.
523,Bendy and the Ink Machine,03-04-2025,10-04-2025,Cartoon horror.
524,Five Nights at Freddy’s: Into the Pit,10-04-2025,17-04-2025,FNAF‑universe title.
525,Felix the Reaper,17-04-2025,24-04-2025,Puzzle about dancing grim reaper.
526,ScourgeBringer,24-04-2025,01-05-2025,Roguelite platformer.
527,Songs of Silence,01-05-2025,08-05-2025,Hybrid strategy game.
528,Zero Hour,08-05-2025,15-05-2025,Tactical FPS.
529,Godzilla Voxel Wars,15-05-2025,22-05-2025,Turn‑based tactics with Godzilla IP.
530,Zoeti,22-05-2025,29-05-2025,Card‑based roguelike.
531,Universe for Sale,29-05-2025,05-06-2025,Narrative adventure.
532,The Darkside Detective,05-06-2025,12-06-2025,Pixel‑art detective adventure.
533,The Jackbox Party Pack 4,12-06-2025,19-06-2025,Party quiz pack.
534,CYGNI: All Guns Blazing,08-08-2025,15-08-2025,Shoot ’em up.
535,DNF Duel (repeat),08-08-2025,15-08-2025,Fighting game.
536,Rawmen: Food Fighter Arena,01-08-2025,08-08-2025,Food‑fight multiplayer arena.
537,LumbearJack,01-08-2025,08-08-2025,Environmental puzzle game.
538,Call of the Wild: The Angler,21-03-2025,28-03-2025,Fishing sim (bundle with Atom Eve in some regions).
539,Invincible Presents: Atom Eve,21-03-2025,28-03-2025,Superhero visual‑novel‑style game.
540,Islets,28-03-2025,04-04-2025,Hand‑drawn Metroidvania.
541,Hogwarts Legacy,11-12-2025,18-12-2025,"Big AAA open‑world RPG, headline of 2025 holiday sale."
